n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.045;1000;49.93;49.93;4.37;4.41
10;50;0.2;0.4;0.048;1000;49.93;49.93;4.39;4.44
10;50;0.5;0;0.046;1000;37.22;37.22;4.36;4.59
10;50;0.5;0.4;0.039;1000;37.22;37.22;4.46;4.84
10;50;0.8;0;0.05;1000;7.99;7.99;3.35;3.42
10;50;0.8;0.4;0.046;1000;7.99;7.99;3.36;3.45
10;100;0.2;0;0.038;1000;99.82;99.82;4.78;4.84
10;100;0.2;0.4;0.048;1000;99.82;99.82;4.83;4.92
10;100;0.5;0;0.051;1000;69.5;69.5;4.96;5.53
10;100;0.5;0.4;0.043;1000;69.5;69.5;5.22;6.12
10;100;0.8;0;0.051;1000;13.61;13.61;3.66;3.82
10;100;0.8;0.4;0.048;1000;13.61;13.61;3.67;3.86
10;150;0.2;0;0.058;1000;149.66;149.66;5.03;5.1
10;150;0.2;0.4;0.048;1000;149.66;149.66;5.12;5.3
10;150;0.5;0;0.038;1000;100.75;100.75;5.49;6.42
10;150;0.5;0.4;0.04;1000;100.75;100.75;6.07;7.61
10;150;0.8;0;0.045;1000;19.09;19.09;3.87;4.15
10;150;0.8;0.4;0.047;1000;19.09;19.09;3.9;4.23
10;200;0.2;0;0.055;1000;199.5;199.5;5.21;5.3
10;200;0.2;0.4;0.053;1000;199.5;199.5;5.46;5.78
10;200;0.5;0;0.043;1000;130.81;130.81;6.1;7.45
10;200;0.5;0.4;0.043;1000;130.81;130.81;7.09;9.13
10;200;0.8;0;0.04;1000;24.26;24.26;4.02;4.41
10;200;0.8;0.4;0.031;1000;24.26;24.26;4.06;4.51
20;50;0.2;0;0.041;1000;50;50;5.01;5.01
20;50;0.2;0.4;0.044;1000;50;50;5.03;5.04
20;50;0.5;0;0.031;1000;47.9;47.9;5.16;5.23
20;50;0.5;0.4;0.042;1000;47.9;47.9;5.26;5.39
20;50;0.8;0;0.048;1000;13.38;13.38;4.38;4.48
20;50;0.8;0.4;0.046;1000;13.38;13.38;4.42;4.6
20;100;0.2;0;0.058;1000;100;100;5.41;5.42
20;100;0.2;0.4;0.055;1000;100;100;5.43;5.44
20;100;0.5;0;0.053;1000;93.54;93.54;5.75;5.92
20;100;0.5;0.4;0.05;1000;93.54;93.54;5.98;6.41
20;100;0.8;0;0.06;1000;21.47;21.47;4.7;4.92
20;100;0.8;0.4;0.055;1000;21.47;21.47;4.78;5.07
20;150;0.2;0;0.062;1000;150;150;5.65;5.66
20;150;0.2;0.4;0.043;1000;150;150;5.67;5.68
20;150;0.5;0;0.047;1000;137.87;137.87;6.13;6.4
20;150;0.5;0.4;0.045;1000;137.87;137.87;6.74;7.49
20;150;0.8;0;0.057;1000;27.68;27.68;4.92;5.24
20;150;0.8;0.4;0.055;1000;27.68;27.68;5.03;5.46
20;200;0.2;0;0.046;1000;200;200;5.82;5.83
20;200;0.2;0.4;0.058;1000;200;200;5.84;5.86
20;200;0.5;0;0.052;1000;181.67;181.67;6.5;6.93
20;200;0.5;0.4;0.053;1000;181.67;181.67;7.63;8.71
20;200;0.8;0;0.05;1000;33.91;33.91;5.12;5.53
20;200;0.8;0.4;0.047;1000;33.91;33.91;5.23;5.74
